INPUT,EXPECTED
abandoned,abandond
accepted,aksepted
abbreviated,abribieyted
accredited,akredited
acquired,akwayerd
adjusted,adyasted
absorbed,absorbd
aborted,aborted
accused,akyusd
adhered,adhird
adjourned,adyornd
addressed,adresd
aged,eydyd
aided,eyded
beaded,bided
breed,brid
bugged,bagd
centered,senterd
cemented,semented
changed,tseyndyd
censored,sensord
composed,komposd
forested,forested
fractured,fraktsurd
fried,frayd
granted,granted
grasped,graspd
hereditary,hereditari
heed,hid
illustrated,ilustreyted
inclined,inklaynd
infringed,infrindyd
inherited,inherited
intertwined,intertwaynd
jagged,dyaged
media,midia
medics,mediks
medley,medli
mirrored,mirord
narrated,nareyted
naked,neyked
named,neymd
narrowed,narowd
obsessed,obsesd
obedience,obidiens
opened,opend
organized,organaysd
passed,pasd
patented,patented
paused,posd
paved,peybd
pledge,plej
popped,popd
predicted,predikted
predetermined,pridetermind
pressed,presd
reached,ritsd
realized,rialaysd
referenced,referensd
reinforced,riinforsd
reportedly,reportedli
rescinded,resinded
retracted,retrakted
robbed,robd
ruined,ruind
sacred,seykred
scented,sented
scarred,skard
scattered,skaterd
sighed,sayd
smeared,smird
soared,sord
solidified,solidifayd
tainted,teynted
tendered,tenderd
tanned,tand
unbalanced,anbalansd
undermined,andermaynd
underrated,anderreyted
vacated,beykeyted
validated,balideyted
varied,barid
voted,boted
wired,wayerd
yielded,yilded
zoned,sond
education,edyukeysyon
edged,edyd
educational,edyukeysyonal
edited,edited
edgy,edyi
edible,edibol
alpha,alfa
alphabet,alfabet
asphalt,asfalt
biographer,bayografer
blasphemy,blasfemi
calligraphy,kaligrafi
catastrophe,katastrofi
cellphone,selfon
choreographed,koryografd
decipher,desayfer
demographic,demografik
diaphragm,dayafram
dolphin,dolfin
elephant,elefant
emphasis,emfasis
euphoria,yuforia
epiphany,epifani
geographical,dyiyografikal
graph,graf
grapheme,grafim
headphones,hedfowns
hemisphere,hemisfir
infographic,infografik
loophole,luphol
lymph,lymf
metaphor,metafor
metaphysical,metafisikal
microphone,maykrofon
morphology,morfolodyi
morph,morf
nephew,nefyu
pamphlets,pamflets
paragraph,paragraf
peripheral,periferal
phase,feys
philanthropy,filantropi
phenomenon,fenomenon
photo,foto
photographer,fotografer
photon,foton
phrases,freyses
physical,fisikal
physique,fisik
sapphire,safayer
schizophrenia,skitsofrenya
smartphone,smartfon
sphere,sfir
tomography,tomografi
xenophobic,sinofobik
almighty,olmayti
alright,olrayt
borough,boro
breakthrough,breyktru
bright,brayt
brightness,braytnes
cough,kof
copyright,kopirayt
daughter,doter
delight,delayt
distraught,distrot
doughnuts,donats
eight,eyt
enlighten,enlayten
enough,inaf
eyesight,aysayt
fight,fayt
flashlight,flaslayt
fright,frayt
ghastly,gastli
ghostly,gostli
ghoul,guwl
height,hayt
high,hay
insightful,insaytful
knight,nayt
laugh,laf
light,layt
manslaughter,mansloter
might,mayt
naughty,noti
neigh,ney
nightly,naytli
onslaught,onslot
ought,ot
outright,awtrayt
oversight,obersayt
plight,playt
plough,plaw
rough,raf
sigh,say
sightseeing,saytsiing
spotlight,spotlayt
thigh,tay
thoroughly,toroli
