input,expected,actual
abandoned,abandond,abanndownd
accepted,aksepted,Akseptad
abbreviated,abribieyted,abrebyeyted
accredited,akredited,akredetid
acquired,akwayerd,akuyrd
adjusted,adyasted,adjustid
absorbed,absorbd,absorbdo
aborted,aborted,abortiyd
accused,akyusd,akusd
adhered,adhird,adhird
adjourned,adyornd,adyurnd
addressed,adresd,adresed
aged,eydyd,eyst
aided,eyded,eyded
beaded,bided,bided
breed,brid,brid
bugged,bagd,bagd
centered,senterd,senterd
cemented,semented,simentid
changed,tseyndyd,tseynd
censored,sensord,Sensoerd
composed,komposd,kompowst
forested,forested,forested
fractured,fraktsurd,fraktured
fried,frayd,frayid
granted,granted,Grantid
grasped,graspd,graspt
hereditary,hereditari,hereditari
heed,hid,hid
illustrated,ilustreyted,ilisttreyted
inclined,inklaynd,inklaynd
infringed,infrindyd,infrinyid
inherited,inherited,Inheprited
intertwined,intertwaynd,intartwaynid
jagged,dyaged,haggad
media,midia,medya
medics,mediks,mediks
medley,medli,medley
mirrored,mirord,miror
narrated,nareyted,narayted
naked,neyked,neyked
named,neymd,neymd
narrowed,narowd,narouved
obsessed,obsesd,obsest
obedience,obidiens,obidiyens
opened,opend,opend
organized,organaysd,organaysd
passed,pasd,pased
patented,patented,patentid
paused,posd,powd
paved,peybd,peyvd
pledge,plej,pledj
popped,popd,popd
predicted,predikted,prediksyon
predetermined,pridetermind,Predetermaind
pressed,presd,prest
reached,ritsd,rits
realized,rialaysd,riyalisad
referenced,referensd,riferenst
reinforced,riinforsd,Reynfors
reportedly,reportedli,reputedli
rescinded,resinded,risidid
retracted,retrakted,retrakted
robbed,robd,robod
ruined,ruind,ruweynd
sacred,seykred,sakred
scented,sented,sented
scarred,skard,skard
scattered,skaterd,skaterd
sighed,sayd,saynd
smeared,smird,smiyrd
soared,sord,sord
solidified,solidifayd,solidifay
tainted,teynted,teyinted
tendered,tenderd,tirenderd
tanned,tand,tand
unbalanced,anbalansd,anbalisnd
undermined,andermaynd,andermaynd
underrated,anderreyted,undareytid
vacated,beykeyted,bakeyted
validated,balideyted,balideytid
varied,barid,bariyed
voted,boted,bowted
wired,wayerd,wayrd
yielded,yilded,yilded
zoned,sond,soned
education,edyukeysyon,edukasyon
edged,edyd,ehd
educational,edyukeysyonal,edyukeyseonal
edited,edited,editet
edgy,edyi,edyi
edible,edibol,edible
alpha,alfa,alfa
alphabet,alfabet,alfabet
asphalt,asfalt,aspalt
biographer,bayografer,biogra-fer
blasphemy,blasfemi,blasfemi
calligraphy,kaligrafi,kaligrapi
catastrophe,katastrofi,katastrofe
cellphone,selfon,selpon
choreographed,koryografd,koreograpd
decipher,desayfer,desayfer
demographic,demografik,demograpik
diaphragm,dayafram,dyapragm
dolphin,dolfin,dolfin
elephant,elefant,elepante
emphasis,emfasis,Emfasis
euphoria,yuforia,yuforia
epiphany,epifani,Epifani
geographical,dyiyografikal,Hiyograpikal
graph,graf,graf
grapheme,grafim,Grafim
headphones,hedfowns,hedpowns
hemisphere,hemisfir,hemisper
infographic,infografik,infograpik
loophole,luphol,lupol
lymph,lymf,limf
metaphor,metafor,metaphor
metaphysical,metafisikal,metaphisikal
microphone,maykrofon,mikeropown
morphology,morfolodyi,morpolohiya
morph,morf,morf
nephew,nefyu,nefyu
pamphlets,pamflets,pamflets
paragraph,paragraf,Paragrafo
peripheral,periferal,peripieral
phase,feys,feys
philanthropy,filantropi,pilantropiya
phenomenon,fenomenon,phenomena
photo,foto,foto
photographer,fotografer,potograpyer
photon,foton,foton
phrases,freyses,Freyses
physical,fisikal,fisical
physique,fisik,fisik
sapphire,safayer,safayr
schizophrenia,skitsofrenya,skitsofreniya
smartphone,smartfon,smarfown
sphere,sfir,Sfir
tomography,tomografi,tomograpiya
xenophobic,sinofobik,Senofobik
almighty,olmayti,almayti
alright,olrayt,alrayt
borough,boro,borough
breakthrough,breyktru,breyktruw
bright,brayt,brayts
brightness,braytnes,Breynes
cough,kof,kaf
copyright,kopirayt,kopitay
daughter,doter,dota
delight,delayt,dilayat
distraught,distrot,distrawt
doughnuts,donats,donats
eight,eyt,eyt
enlighten,enlayten,enlaytun
enough,inaf,enaf
eyesight,aysayt,ayesayt
fight,fayt,payt
flashlight,flaslayt,flasylayt
fright,frayt,frayt
ghastly,gastli,gastli
ghostly,gostli,gostli
ghoul,guwl,gul
height,hayt,hayit
high,hay,hay
insightful,insaytful,insaytful
knight,nayt,nayit
laugh,laf,laf
light,layt,layt
manslaughter,mansloter,mansloter
might,mayt,mayt
naughty,noti,noti
neigh,ney,ney
nightly,naytli,naytli
onslaught,onslot,onslawt
ought,ot,ot
outright,awtrayt,autray
oversight,obersayt,obers-say
plight,playt,playt
plough,plaw,plaw
rough,raf,raf
sigh,say,say
sightseeing,saytsiing,saytsiing
spotlight,spotlayt,Spotlayit
thigh,tay,tay
thoroughly,toroli,torowli
tightly,taytli,taytli
weigh,wey,wey
yoghurt,yogart,yogurt
acknowledge,aknolej,aknolej
acreage,eycrieyj,ekrehis
ageing,eydying,eyhing
agencies,eydyensis,ahensiyas
algebra,aldyibra,alehbra
angel,eyndyel,eynhel
avenge,abenj,abéns
badger,badyer,badyer
backstage,baksteyj,baksteyh
badge,baj,badye
bagels,beygels,bagels
bandage,bandeyj,bandahe
banger,banger,banger
barrage,baraj,baras
beige,beyj,beyhs
beverage,bebereyj,beberahe
bridge,brij,brihe
cage,keyj,kehs
challenge,tsalenj,tselendy
change,tseynj,Tseyns
damage,dameyj,damhe
detergent,deterdyent,deterhente
digestion,daydyestyon,digestyon
diligent,dilidyent,dilichent
disadvantage,disadbanteyj,disadbantehy
edge,ej,ej
emerge,emerj,imers
encourage,enkoreyj,Enkaras
endanger,endeyndyer,Endeynher
finger,finger,fingger
forage,foreyj,forey
forge,forj,fors
forget,forget,forket
gadget,gadyet,gadyet
gear,gir,gir
generalization,dyeneraliseysyon,henneralisasyon
general,dyeneral,heneral
generosity,dyenerositi,henerosidad
genius,dyinyus,hinyos
gentle,dyentel,hentol
geology,dyiolodyi,hiyolohiya
hanger,hanger,hanger
image,imeyj,imeheng
images,imeydyes,imehes
judge,dyaj,hach
knowledge,nolej,naledis
language,langueyj,lengwahi
large,larj,larhe
legend,ledyend,legendi
luggage,lageyj,lugey
manage,maneyj,manehx
magenta,madyenta,Maheenta
marriage,mereyj,marihis
massage,masaj,masahe
messenger,mesendyer,mesenser
mileage,mayleyj,mileyis
negligence,neglidyens,negihensya
nugget,naget,naket
orange,oreynj,orenhe
orphanage,orfaneyj,orfanehes
page,peyj,peyh
passage,paseyj,pesahe
pigeon,pidyon,pihen
privilege,pribilej,pribelehiyo
rage,reyj,reyh
range,reynj,reyns
refridgerator,refridyereytor,refridheratir
ravage,rabeyj,rabehI
salvage,salbeyj,salbehe
sausage,soseyj,sosehis
sewage,sueyj,seweys
siege,sij,siey
stage,steyj,isteyh
strange,streynj,estreyns
tragedy,tradyedi,Tradehiya
teenager,tineydyer,tineyher
triggered,trigerd,Triggered
together,tugeder,tugader
urgency,urdyensi,Urhensi
usage,yuseyj,Usahe
villagers,biledyers,Bilehers
voltage,bolteyj,bolteye
wage,weyj,weys
wedge,wej,wej
younger,yanger,yangger
amber,amber,ambar
ambient,ambyent,ambiyent
ambitious,ambisyus,ambisyoso
assemble,asembol,asembl
bamboo,bambu,bambú
bomb,bomb,bom
chamber,tseymber,tsember
climb,klaymb,klaym
comb,komb,kom
dumb,damb,dam
embargo,embargo,Embargo
embark,embark,embark
embarrass,embaras,embalas
embody,embodi,Embodi
embrace,embreys,embreys
embryo,embrio,embryo
flamboyant,flamboyant,flamboyante
fumble,fumbol,fambal
gambit,gambit,gambít
gamble,gambol,gambul
gambler,gambler,gambaler
hamburg,hamberg,hambork
hamburger,hamberger,hamberger
humble,hambol,hambol
imbalance,imbalans,imbalans
incumbent,inkambent,inkumbent
lamb,lamb,lam
limb,limb,limb
lumbar,lambar,lombar
lumber,lamber,lumber
limbo,limbo,limbo
member,member,member
numb,namb,nam
number,namber,namber
plumber,plamber,plomber
reimburse,riimbers,Riembors
remember,remember,rimembar
resemble,resembol,Resesemblo
rumble,rumbol,rambal
scramble,skrambol,eskrambol
somber,somber,somber
steamboat,stimbot,stimbowt
symbol,simbol,simbolo
thumb,tamb,tam
tombstone,tumbston,tombstowun
tremble,trembol,trembol
womb,wumb,wom
zombie,sombi,sombi
hackney,hakni,hakni
knave,neyb,neybI
knew,niw,nyuw
knife,nayf,nayf
knit,nit,knit
knob,nob,nob
knock,nok,nok
knoll,nol,nol
knot,not,knot
know,now,now
knuckle,nakel,nakal
nickname,nikneym,nikneym
weakness,wiknes,weknes
agnostic,agnostik,agnastik
align,alayn,alay
assign,asayn,asayn
benign,benayn,bining
bologna,bolownya,bolohnya
campaign,kampeyn,kampanya
champagne,tsampeyn,sampanya
cognition,kognisyon,kogniysyon
cologne,kolon,kolanya
deign,deyn,deyn
design,desayn,disayn
diagnose,dayagnos,dayagnows
dignified,dignifayd,dignipay
electromagnetic,elektromagnetik,elektromagnetik
