INPUT,EXPECTED
abacus,abakus
abnormal,abnormal
abortion,aborsiyon
absent,absent
others,aders
addict,adik
admiral,admiral
address,adres
agenda,adyenda
account,akawnt
accountant,akawntant
acronym,akronim
acrostic,akrostik
access,akses
axis,aksis
actress,aktres
aquarium,akwaryum
alibi,alibay
alumni,alumnay
ambush,ambus
ammonia,amonya
amphibian,ampibyan
announcer,anawnser
uphere,apir
apply,aplay
applicant,aplikant
apricot,aprikot
archipelago,arkipelago
Armalite,armalayt
army,armi
assignment,asaynment
attack,atak
attorney,atorni
icing,aysing
icecream,ayskrim
bye,bay
bodyguard,badigard
badminton,badminton
badtrip,badtrip
budget,badyet
bag,bag
boxoffice,baksopis
evacuee,bakwit
ballet,baley
volleyball,bolibol
ban,ban
van,banvan
banjo,bandyo
bar,bar
variety,barayti
barbecue,barbekyu
barbell,barbel
barker,barker
Baroque,barok
bartender,bartender
variable,baryabol
variant,baryant
basket,basket
basketball,basketbol
busted,basted
bazooka,basuka
baton,baton
bacon,bekon
birthday,bertdey
bestfriend,bespren
baseball,beysbol
VeTsin,betsin
baby,beybi
video,bidyo
videoke,bidyoke
bikini,bikini
billboard,bilbord
building,bilding
believe,bilib
billiard,bilyard
busy,bisi
biscuit,biskuwit
beefsteak,bipstik
blackboard,blakbord
blotter,blater
vaudeville,bodabil
vodka,bodka
boxing,boksing
bold,bold
bowling,boling
ballpen,bolpen
boo,boo
boss,bos
boycott,boykot
brandy,brandi
brassiere,brasiyer
brownout,brawnawt
briefs,brip
broadcast,brodkast
broadcaster,brodkaster
broccoli,brokoli
bulldozer,buldoser
boomerang,bumerang
bus,bus
dustpan,daspan
duster,daster
diagram,dayagram
diaper,dayaper
deadball,dedbol
detective,detektib
degree,digri
discotheque,diskotek
dispatcher,dispatser
doubledead,dobolded
doughnut,donat
drum,dram
driver,drayber
dribble,dribol
drawing,drowing
jacket,dyaket
jackpot,dyakpat
jumpball,dyambol
janitor,dyanitor
jazz,dyas
generator,dyenereytor
jingle,dyinggel
jeepney,dyipni
judo,dyudo
exit,eksit
elevator,elebeytor
encyclopedia,ensayklopidya
entry,entri
effect,epek
airconditioner,erkondisyoner
earthquake,ertkweyk
escalator,eskaleytor
fivesix,paybsiks
gadget,gadyet
gang,gang
gamble,gambol
game,geym
gimmick,gimik
golf,golp
graduate,gradweyt
grounded,grawnded
grocer,groser
grocery,groseri
honey,hani
hello,halo
hamster,hamster
hanger,hanger
halfslip,hapislip
hurdle,hardel
hassle,hasel
hotdog,hatdog
high,hay
highblood,hayblad
highschool,hayskul
highway,haywey
helicopter,helikopter
holdupper,holdaper
holein,holen
hallway,holwey
interview,interbiyu
schedule,iskedyul
skirt,iskert
scholar,iskolar
score,iskor
school,iskul
script,iskrip
screen,iskrin
scooter,iskuter
squatter,iskuwater
icescramble,iskrambol
squirrel,iskuwirel
slogan,islogan
snob,isnab
snack,isnak
spiral,ispayral
spelling,ispeling
speaker,ispiker
sponsor,isponsor
sport,isport
spray,isprey
stock,istak
standard,istandard
strawberry,istroberi
issue,isyu
cabinet,kabinet
canvass,kambas
canteen,kantin
copyright,kopirayt
carat,karat
carrot,karotkerot
carpet,karpet
cash,kas
casualty,kaswalti
candy,kendi
ketchup,ketsap
cake,keyk
keyboard,kibord
clip,klip
cowboy,koboy
Kodak,kodak
collector,kolektor
commonwealth,komonwelt
computer,kompyuter
condom,kondom
collect,kolek
correct,korek
crash,kras
coup d'état,kudeta
cookies,kukis
cute,kyut
loudspeaker,lawdispiker
level,lebel
label,leybel
lazy,leysi
lowbatt,lobat
magic,madyik
magazine,magasin
mannequin,manikin
mouse,maws
missedcall,miskol
meeting,miting
mall,mol
nurse,nars
notebook,notbuk
okay,okey
office,opis
fuckshit,paksyet
fuckyou,pakyu
panty,panti
password,pasword
fake,peke
first time,perstaym
Facebook,peysbuk
picture,piktsur
pliers,plais
flashlight,plaslayt
plastic,plastik
plywood,playwud
fountain pen,pontempen
photobomb,potobam
police,pulis
football,futbol
rally,rali
refrigerator,repridyeretor
review,rebyu
respelling,reispeling
recess,rises
robot,robot
saliva,salayba
sample,sampol
sandwich,sandwits
survey,sarbey
simple,simple
cellphone,selpon
sorry,sori
supermarket,supermarket
supply,suplay
supplier,suplayer
shawty,syota
standby,tambay
traffic,trapik
textbook,teksbuk
tennis,tenis
teenager,tinedyer
teacher,titser
Teeshirt,tisyert
tissue,tisyu
tricycle,traysikel
truck,trak
tray,trey
check,tsek
checkmate,tsekmeyt
chess,tses
wise,wais
website,websayt
weather,weder
unit,yunit
