input,expected,actual
Okay,Okey,okey
Sorry,Sori,sori
Wait,Weyt,weyt
Like,Layk,layk
Share,Sheyr,ser
Post,Post,post
Comment,Koment,komento
Text,Tekst,teks
Call,Kol,kol
Chat,Tsat,syat
Message,Meseyj,mensahe
Password,Pasword,pasword
Account,Akawnt,akawnt
Email,Imeyl,imeyil
Internet,Internet,internet
Online,Onlayn,onlayn
Website,Websayt,websayt
Link,Link,link
Screenshot,Skrinshat,skrinswot
Download,Dawnlowd,daunlod
Upload,Aplowd,apload
File,Fayl,fail
Folder,Folder,folder
Save,Seyb,seyb
Delete,Dilit,dilis
Edit,Edit,edit
Update,Apdeyt,apdeyit
Check,Tsek,tsek
Fix,Fiks,fiks
Problem,Problem,probema
Issue,Isyu,isyu
Error,Eror,eror
Boss,Bos,bos
Manager,Maneyjer,manehir
Team,Tim,tim
Meeting,Miting,miting
Schedule,Skedyul,iskedyul
Project,Projekt,proyekto
Task,Task,task
Report,Report,repor
Plan,Plan,plan
Idea,Aydiya,ideya
Feedback,Fidbak,fidbaek
Tip,Tip,tip
Trick,Trik,trik
Stress,Stres,stres
Panic,Panik,panik
Hurry,Hari,huri
Late,Leyt,leyt
Early,Erli,arli
Waiter,Weyter,weyter
Menu,Menu,menu
Order,Order,orden
Price,Prays,prays
Sale,Seyl,seyil
Discount,Diskawnt,diskwento
Cheap,Tsip,tsip
Expensive,Ekspensib,ekspensibo
Pay,Pey,pey
Card,Kard,kard
Cash,Kash,kas
Bank,Bangk,bangk
Loan,Lown,lown
Credit,Kredit,kredit
Shop,Shap,syop
Mall,Mol,mol
Store,Stor,istowa
Market,Market,merkado
Delivery,Deliberi,deliber
Package,Pakeyj,pakete
Travel,Trabel,traybel
Trip,Trip,trip
Ticket,Tiket,tiket
Flight,Flayt,flayt
Hotel,Hotel,hotel
Room,Rum,rum
Reservation,Reserbeysiyon,reserbasyon
Check-In,Tsek-In,chekin
Check-Out,Tsek-Awt,tsekawt
Vacation,Bakeysiyon,bakasyon
Party,Parti,partit
Event,Ebent,ivent
Invite,Inbayt,imbitá
Guest,Gest,ges
Gift,Gift,gipot
Present,Present,presinte
Cake,Keyk,keyk
Chocolate,Tsokoleyt,tsokolate
Coffee,Kofi,kapi
Tea,Ti,ti
Juice,Dyus,huwis
Drink,Drink,drinc
Beer,Bir,bir
Wine,Wayn,wayn
Restaurant,Restorant,restarante
Breakfast,Brekfast,brekpast
Lunch,Lansh,lonts
Dinner,Diner,dinir
Snack,Snak,snek
Food,Fud,pud
