input,expected,actual
abacus,abakus,abakus
abnormal,abnormal,abnormal
abortion,aborsyon,aburyson
absent,absent,absente
others,aders,adders
addict,adik,adik
admiral,admiral,admiral
address,adres,adres
agenda,adyenda,ahenda
account,akawnt,akawnt
accountant,akawntant,akawntant
acronym,akronim,akronim
acrostic,akrostik,Akrostik
access,akses,akses
axis,aksis,aksis
actress,aktres,aktres
aquarium,akwaryum,akwaryum
alibi,alibay,alibay
alumni,alumnay,alumni
ambush,ambus,ambos
ammonia,amonya,amunya
amphibian,ampibyan,amfibian
announcer,anawnser,announser
uphere,apir,Apir
apply,aplay,apla
applicant,aplikant,aplikant
apricot,aprikot,aprikot
archipelago,arkipelago,arkipelago
Armalite,armalayt,Armalait
army,armi,armi
assignment,asaynment,asayment
attack,atak,atak
attorney,atorni,aterni
icing,aysing,aysin
icecream,ayskrim,aysikrim
bye,bay,bay
bodyguard,badigard,bodiguard
badminton,badminton,badminton
badtrip,badtrip,badtrip
budget,badyet,badsyet
bag,bag,bag
boxoffice,baksopis,boksopis
ballet,baley,balet
volleyball,bolibol,boliboli
ban,ban,ban
van,ban,ban
banjo,bandyo,banho
bar,bar,bar
variety,barayeti,bareyti
barbecue,barbekyu,barbikyu
barbell,barbel,barbel
barker,barker,barker
Baroque,barok,Barok
bartender,bartender,bartender
variable,baryabol,Bariable
variant,baryant,bariyante
basket,basket,basket
basketball,basketbol,basketbol
busted,basted,basted
bazooka,basuka,basuka
baton,baton,baton
bacon,beykon,beykun
birthday,bertdey,berdey
bestfriend,bespren,bestfrend
baseball,beysbol,beysbol
VeTsin,betsin,Betsín
baby,beybi,bebi
video,bidyo,bidyo
videoke,bidyoke,bidyoke
bikini,bikini,bikini
billboard,bilbord,bilbord
building,bilding,bildding
believe,bilib,biliv
billiard,bilyard,biliyar
busy,bisi,bisi
biscuit,biskuwit,biskwit
beefsteak,bipstik,bifstik
blackboard,blakbord,blakbord
blotter,blater,blater
vaudeville,bodabil,bodebil
vodka,bodka,bodka
boxing,boksing,boksing
bold,bold,bold
bowling,boling,Bawling
ballpen,bolpen,bolpen
boo,bu,bu
boss,bos,bos
boycott,boykot,boykot
brandy,brandi,brandi
brassiere,brasiyer,brasyer
brownout,brawnawt,brawnawt
briefs,brip,briefs
broadcast,brodkast,brotkast
broadcaster,brodkaster,brotkaster
broccoli,brokoli,brokoli
bulldozer,buldoser,bulduser
boomerang,bumerang,bumaerang
bus,bas,bas
dustpan,daspan,dastpan
duster,daster,daster
diagram,dayagram,dyagaram
diaper,dayaper,diaper
deadball,dedbol,dedbol
detective,detektib,detektib
degree,digri,digri
discotheque,diskotek,diskoteka
dispatcher,dispatser,dispetser
doubledead,dobolded,dabeldéd
doughnut,donat,donats
drum,dram,drom
driver,drayber,Drayber
dribble,dribol,dribol
drawing,drowing,draywin
jacket,dyaket,jaket
jackpot,dyakpat,jakpot
jumpball,dyambol,jumpbawl
janitor,dyanitor,Henitor
jazz,dyas,yas
generator,dyenereytor,heneretir
jingle,dyinggel,Jingol
jeepney,dyipni,hipni
judo,dyudo,yudo
exit,eksit,Eksit
elevator,elebeytor,eleweytor
encyclopedia,ensayklopidya,ensiklopidya
entry,entri,entri
effect,epek,Ipekt
airconditioner,erkondisyoner,erkondisyoner
earthquake,ertkweyk,ertykweyk
escalator,eskaleytor,eskalador
fivesix,paybsiks,Fayf Siks
gadget,gadyet,gajet
gang,gang,gang
gamble,gambol,gambul
game,geym,geym
gimmick,gimik,gimik
golf,golp,golf
graduate,gradweyt,gradweyt
grounded,grawnded,graunded
grocer,groser,groser
grocery,groseri,groseri
honey,hani,hani
hello,halo,helo
hamster,hamster,hamster
hanger,hanger,hanger
halfslip,hapislip,hafslip
hurdle,hardel,hurdl
hassle,hasel,hasl
hotdog,hatdog,hotdag
high,hay,hay
highblood,hayblad,hayblab
highschool,hayskul,Hay Skul
highway,haywey,haywey
helicopter,helikopter,helikopter
holdupper,holdaper,holdoper
holein,holen,holayn
hallway,holwey,hawley
interview,interbiyu,enterbyu
schedule,iskedyul,iskedyul
skirt,iskert,skert
scholar,iskolar,eskolyar
score,iskor,skor
school,iskul,iskul
script,iskrip,skrip
